"data_sprawdzenia","nazwa kanalu","url kanalu","liczba subskrybentow","suma wyswietlen filmow, które ukazaly się na kanale w osatnim tygodniu","suma wyswietlen filmow, które ukazaly się na kanale w osatnim miesiacu"
"2022-01-20","FAME MMA","https://www.youtube.com/channel/UCp91i5P0MGWV4VXfbCxx5WA","916484","0","0"
"2022-01-20","Dominik Rupiński","https://www.youtube.com/channel/UCqFa_z-rytSOpL1xOeWlIOw","915463","41276","130675"
"2022-01-20","Sprawdzam Jak","https://www.youtube.com/channel/UCSBmpo4ksx-1GzKorS4YOnQ","912135","326531","1957107"
"2022-01-20","CLEO","https://www.youtube.com/channel/UCG2Nr0F1x_l2sEaQNVEibXg","899580","0","0"
"2022-01-20","szymeQ","https://www.youtube.com/channel/UCmZE2ovuXp8TOmqYj0dKg5g","897490","0","0"
"2022-01-20","KittyBella","https://www.youtube.com/channel/UC8DvBFRWHRE6Z3CVaszEmgA","896067","111611","1109529"
"2022-01-20","TVP VOD","https://www.youtube.com/channel/UC03sVDw-tRhwDuQACRFBpGw","895026","167851","738502"
"2022-01-20","vNARF","https://www.youtube.com/channel/UCCBWP7kg-nLXuHuhGf7Qpiw","881498","62727","1067318"
"2022-01-20","Kuba Klawiter","https://www.youtube.com/channel/UCLr4hMhk_2KE0GUBSBrspGA","877475","253531","2214026"
"2022-01-20","KicksterTV","https://www.youtube.com/channel/UCE59JfgJn06qFVHES99M_KQ","870021","0","265903"
"2022-01-20","MaturaToBzdura.TV","https://www.youtube.com/channel/UCgwIfE7xkql7bIBRMZNZYLg","864473","98912","630368"
"2022-01-20","SmileSlow","https://www.youtube.com/channel/UCo9YmZIp3fBlPUdGOagryQA","859121","400833","3222818"
"2022-01-20","Zapytaj Beczkę","https://www.youtube.com/channel/UC3QOjSZmJuYgb98BAzKfzig","852502","0","0"
"2022-01-20","MaxFloRec TV","https://www.youtube.com/channel/UCexg-CUFnrsz3ASBIoJSmYA","850421","0","0"
"2022-01-20","mietczynski","https://www.youtube.com/channel/UCZP_DXnKgfs_ZX3RHVmu6qQ","846518","0","446267"
"2022-01-20","Rafa","https://www.youtube.com/channel/UC15j7WaRfrSDHD6OzPqLFJg","846149","596138","2737388"
"2022-01-20","Zabawkowicz","https://www.youtube.com/channel/UCJuy9BTqPUnPkN-QE3qBJaA","846118","119857","1860919"
"2022-01-20","LukasTV","https://www.youtube.com/channel/UCEwF2eVRDQNVP-OSmbPt3qQ","836493","61901","246960"
"2022-01-20","GlamPaulaTV","https://www.youtube.com/channel/UCweMvuSnOVyohynlBAcEn9g","831401","50147","549741"
"2022-01-20","Dla Pieniędzy","https://www.youtube.com/channel/UCyHVSusYgnxrGGfx0SOHekw","826096","79658","216678"
"2022-01-20","chillwagon","https://www.youtube.com/channel/UCYx0kiZgPqX03ZTdwjvZFXA","821596","0","205214"
"2022-01-20","Fairout","https://www.youtube.com/channel/UC9bk2VgkRnj32zE9brWv-EA","812008","1594746","9595906"
"2022-01-20","SargeThePlayer","https://www.youtube.com/channel/UCGkgDU4KizOIvpV2I-4VYRA","808578","99175","715508"
"2022-01-20","Jawor","https://www.youtube.com/channel/UCBp1uKUOq9oEcLFEsNutcbw","807124","723908","4164601"
"2022-01-20","Bladii","https://www.youtube.com/channel/UCJ2tAQPJOC2OIqvQlalzbag","805418","84322","891387"
"2022-01-20","iSuperMWK.","https://www.youtube.com/channel/UCm9kKJfOdNcLn-Q4_ut-HUQ","803540","114617","1079393"
"2022-01-20","Paweł Malinowski","https://www.youtube.com/channel/UCMj0-7sVNtFTQoM6_WlkT9A","798471","56910","210564"
"2022-01-20","Ronnie Ferrari","https://www.youtube.com/channel/UCbsKNqj-AYbhtxYYbJff1cw","796132","0","0"
"2022-01-20","Nexe","https://www.youtube.com/channel/UC-0PBESd8vrkdAbd4csUzSw","794515","82269","703741"
"2022-01-20","Langusta na palmie","https://www.youtube.com/channel/UCme4ZOv65uzGADXuvtHkSvA","794512","688044","1834346"
"2022-01-20","Danny Ferreri","https://www.youtube.com/channel/UCn5p8gbfAoG9HoGFnBQQ2Pw","794505","0","6727"
"2022-01-20","Wojan PLUS","https://www.youtube.com/channel/UC5OmAy7nQNIYIh5XwPDCJ2g","792019","993486","8107214"
"2022-01-20","Łączy nas piłka","https://www.youtube.com/channel/UCFlGSuyqfui9DwttuET8MzQ","781502","31940","51941"
"2022-01-20","Cezary Pazura","https://www.youtube.com/channel/UCY_fyIMTLLOZgmkuUYo6JKw","779464","0","270462"
"2022-01-20","MinecraftLJay","https://www.youtube.com/channel/UCLNcErqukm4-Xu1zPzrYxIQ","779405","99901","232393"
"2022-01-20","Kizo MyToSukces","https://www.youtube.com/channel/UChH_GbiCBhJFYou4XVK4Gow","773018","0","0"
"2022-01-20","TVN7","https://www.youtube.com/channel/UCFqLPDskfT2tdIfaQdted9A","770178","445859","1126620"
